Date,Rev
2017-01-14,2230
2017-01-15,11729
2017-01-16,3762
2017-01-17,-768
2017-01-18,7077
2017-01-19,-4185
2017-01-20,1101
2017-01-21,4807
2017-01-22,5385
2017-01-23,-2095
2017-01-24,5022
2017-01-25,3709
2017-01-26,1023
2017-01-27,6736
2017-01-28,3288
2017-01-29,1441
2017-01-30,982
2017-01-31,-958
2017-02-01,3111
2017-02-02,1217
2017-02-03,-2515
2017-02-04,3757
2017-02-05,14288
2017-02-06,2702
2017-02-07,1768
2017-02-08,1754
2017-02-09,13441
2017-02-10,2788
2017-02-11,4432
2017-02-12,7683
2017-02-13,864
2017-02-14,1062
2017-02-15,912
2017-02-16,1145
2017-02-17,-6402
2017-02-18,2852
2017-02-19,470
2017-02-20,3020
2017-02-21,-1070
2017-02-22,1390
2017-02-23,4327
2017-02-24,-4992
2017-02-25,4680
2017-02-26,1246
2017-02-27,1217
2017-02-28,8510
2017-03-01,2437
2017-03-02,-1611
2017-03-03,11249
2017-03-04,-8432
2017-03-05,-779
2017-03-06,1615
2017-03-07,4151
2017-03-08,1625
2017-03-09,1672
2017-03-10,2677
2017-03-11,-2799
2017-03-12,-3482
2017-03-13,5795
2017-03-14,1631
2017-03-15,-5811
2017-03-16,1687
2017-03-17,805
2017-03-18,-2136
2017-03-19,1062
2017-03-20,2054
2017-03-21,-1214
2017-03-22,3297
2017-03-23,3274
2017-03-24,1848
2017-03-25,2884
2017-03-26,-1394
2017-03-27,-6434
2017-03-28,-789
2017-03-29,2943
2017-03-30,9795
2017-04-01,1339
2017-04-02,2163
2017-04-03,4043
2017-04-04,-1288
2017-04-05,5140
2017-04-06,2461
2017-04-07,9404
2017-04-08,-1633
2017-04-09,554
2017-04-10,1617
2017-04-11,712
2017-04-12,6232
2017-04-13,-5274
2017-04-14,632
2017-04-15,-3890
2017-04-16,7974
2017-04-17,2284
2017-04-18,3138
2017-04-19,3266
2017-04-20,1712
2017-04-21,1654
2017-04-22,2671
2017-04-23,2024
2017-04-24,6255
2017-04-25,2143
2017-04-26,1504
2017-04-27,-1969
2017-04-28,3906
2017-04-29,2227
2017-04-30,5071
2017-05-01,5915
2017-05-02,-4384
2017-05-03,-2632
2017-05-04,-1538
2017-05-05,2581
2017-05-06,-3757
2017-05-07,-1550
2017-05-08,2402
2017-05-09,-1654
2017-05-10,1353
2017-05-11,618
2017-05-12,1258
2017-05-13,1712
2017-05-14,-11647
2017-05-15,11434
2017-05-16,-2174
2017-05-17,-1357
2017-05-18,1871
2017-05-19,2101
2017-05-20,6033
2017-05-21,-2506
2017-05-22,1942
2017-05-23,-1486
2017-05-24,1225
2017-05-25,-6600
2017-05-26,2162
2017-05-27,1964
2017-05-28,-2529
2017-05-29,3388
2017-05-30,-5547
2017-06-01,12290
2017-06-02,-2519
2017-06-03,-3785
2017-06-04,2672
2017-06-05,1228
2017-06-06,2928
2017-06-07,-857
2017-06-08,1825
2017-06-09,2835
2017-06-10,1865
2017-06-11,-1966
2017-06-12,4998
2017-06-13,-4569
2017-06-14,873
2017-06-15,1073
2017-06-16,4342
2017-06-17,2342
2017-06-18,6526
2017-06-19,-2956
2017-06-20,4107
2017-06-21,3282
2017-06-22,-889
2017-06-23,1429
2017-06-24,2581
2017-06-25,-3987
2017-06-26,7740
2017-06-27,-2183
2017-06-28,3193
2017-06-29,872
2017-06-30,-2501
